label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,24_154,24_155,24_156,24_157,24_158,24_159,24_160,24_161,24_162,24_163,24_164,24_165,24_166,24_167,24_168,24_169,24_170,24_171,24_172,24_173,24_174,24_175,24_176,24_177,24_178,24_179,24_180,24_181,24_182,24_183,24_184,24_185,24_186,24_187,24_188,24_189,24_190,24_191,24_192,24_193,24_194,24_195,24_196,24_197,24_198,24_199,24_200,24_201,24_202,24_203,24_204,24_205,24_206,24_207,blank1,blank2,blank3,blank4,blank5,blank6
g,0,25,22,450.066,7.009866,0.8380283,,CDP-ethanolamine,C00570,-1,8980.053,450.066,18684.71,835.391,33548.26,0,6183.16,6605.336,8661.082,21877.16,0,35873.83,0,10403.15,45966.43,8285.289,22679.48,0,5140.087,13292.34,29395.27,8274.629,40723.18,9608.032,36887.16,21029.1,41718.58,8348.959,710.1516,2010.612,1725.365,7604.014,0,4303.925,17860.56,8838.604,0,33620.1,0,23726.71,9354.202,3746.571,6123.284,1053.292,7151.737,5013.862,20261.31,581.0174,37746.39,3332.828,11913.41,668.6576,31088.12,753.1314,5921.972,7911.392,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,26,35,452.0829,7.035632,0.8405917,,CDP-ethanolamine,C00570,-1,13501.65,452.0829,25198.07,3688.855,29408.35,3579.739,17017.11,13692.28,16826.39,27502.82,900.4264,27754.6,0,11714.5,27239.74,17590.95,10598.73,1631.027,18108.98,13851.48,26513.48,11463.2,35258.25,21169.01,22092.64,17486.34,30264.13,20584.82,2001.296,5517.456,3909.776,7817.441,1908.808,10555.92,19530,19736.28,785.2101,26494.35,3317.693,31213.26,21225.88,14893.23,13573.51,17107.01,8386.041,6345.154,28333.13,781.1141,29277.89,16080.91,21974.05,623.0581,20477.25,7675.693,11664.73,17915.28,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,27,2,454.081,7.043606,0.779394,,CDP-ethanolamine,C00570,-1,17980.9,454.081,13817.47,1898.132,3857.222,0,1793.93,2567.319,5589.164,1967.157,0,6394.036,0,4412.64,3654.025,5270.996,2674.986,887.8122,3920.096,5137.411,4589.751,2701.491,4247.343,1193.808,7408.582,3440.775,5743.492,1324.512,0,908.1532,802.8668,938.8978,705.137,3024.301,10491.86,8842.41,0,4255.498,628.3018,7789.784,3703.29,983.0319,3191.324,3041.595,1565.841,0,8442.617,0,5910.14,6569.5,6004.202,0,5102.464,1150.116,1338.968,2586.479,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,28,31,445.0526,5.04304,0.8421764,,CDP-ethanolamine,C00570,-1,2259.227,445.0526,1042.911,20856.38,9816.271,1344.113,30662.12,23709.95,3035.037,26613.43,11253.47,1545.514,19457.46,25664.14,3054.615,25087.29,14435.19,1450.389,26580.27,13180.1,904.4242,24530.7,13310.26,0,10700.47,6901.646,5095.023,25833.91,19239.35,1898.944,17827.34,5702.515,0,18148.56,11976.78,1528.397,17356.79,4415.024,0,16838.69,4966.402,864.2538,16788.53,14129.29,0,17244.11,6689.457,928.1605,19739.36,18741.45,0,20208.51,8774.549,0,30918.75,11402.62,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,29,60,129.019,11.85058,0.8450728,,Citraconic acid,C02226,-1,7749.174,129.019,1.49E+07,1784410,1.64E+07,422656.6,4651087,4190958,4254648,1.65E+07,218921.4,2.04E+07,166577.3,4037454,2.31E+07,4723770,3383404,1111724,4463590,5292746,1.71E+07,3073858,1.72E+07,5179915,1.60E+07,1.47E+07,2.18E+07,5805686,649778.3,3387524,1559888,3129779,518293.7,3664528,8286216,6242920,201717.9,1.76E+07,779318.2,1.21E+07,2802998,1685301,5059987,4429569,5847654,6403018,8685843,81354.39,1.70E+07,4255822,7485468,232480.8,1.39E+07,827367.4,3693928,5806380,9930051,1.05E+07,1.18E+07,40058.83,26320.82,17344.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
