compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
deoxyadenosine,250.0965,C00559,250.0965,568.5674,522.3821,541.0246,573.8456,18646.96,3018.496,1430.619,0,2695.372,2928.249,10264.75,13494.58,14990.6,3856.064,518.8455,8679.663,1674.038,6315.469,576.3513,0,9277.628,498.3114,1561.079,490.1227,1529.187,5850.45,548.1104,0,8374.576,3028.223,2054.554,571.0447,9136.062,1468.366,1937.093,10187.57,13898.21,9959.059,28186.11,20695.52,40808.73,30930.99,9287.968,40637.49,21385.01,2983.076,26654.63,35181.53,1475.551,38646.43,45486.29,11403.97,23411.22,11856,6608.729,514.2149,593.3389,1051.378,1197.563,648.856
deoxyuridine,228.0682,C00526,228.0682,197854.1,3822.069,2502.746,100120.1,0,0,216348.8,8277.616,2148.816,116386.4,1339.391,3075.45,56691.07,3425.875,5565.548,83738.47,4618.571,1937.978,99467.39,4476.58,1904.169,152318.8,19217.61,6572.779,59786.92,21562.98,6907.676,28845.64,18372.23,7093.125,7568.851,12325.97,7996.328,9715.832,18416.29,4109.867,29648.07,3740.909,7491.057,2927.898,12196.52,5206.902,23919.88,19897.9,1963.585,10138.57,8855.313,11990.51,54508.25,21734.8,3461.703,45985.17,19048.88,0,0,0,0,0,0,0
deoxyuridine,229.0613,C00526,229.0613,53568.55,23458.4,47322.85,65753.87,77271.27,39753.16,47016.41,51896.41,56992.38,49732.18,40933.98,24435.6,29097.85,83217.48,28981.38,27563.08,35628.39,32685.07,90915.33,55585.5,22592.26,101111.2,27727.62,22583.96,45694.98,47159.52,48485.38,62016.47,48631.17,52007.08,70450.07,26143.71,52254.85,56559.3,51084.22,32380.46,70495.45,74444.33,27667.98,81934.8,86127.3,55119.95,58303.52,57342.14,50499.15,40619.77,49171.88,72806.92,67964.89,118918.9,70504.45,58725.91,99007.3,65510.69,1083.007,0,0,0,0,0
deoxyuridine,227.0709,C00526,227.0709,401805.4,79735.22,11180.39,240411.7,32536.45,18123.87,302678.8,56978.16,1249.26,200900.6,36444.86,6269.377,66056.35,22486.48,8588.195,103791,35494.62,0,231770.4,21633.22,2879.846,383382.8,60700.7,6932.002,198596.3,45862.76,0,197409.1,34861.17,1757.012,158369.1,31475.79,0,195813.8,21865.12,0,237497.3,6436.622,3252.117,95984.02,9105.892,678.7216,255877.3,22726.56,4521.556,86059.97,9433.099,0,226434.4,10996.42,0,225243.7,11992.29,0,12945.69,586.5977,608.6065,0,0,0
dGMP,347.0591,C00362,347.0591,361756.4,337761.9,273369.2,323110.2,66128.52,448277.2,576250.6,38916.91,458433.1,144539.2,427042.8,299018.5,158725.5,462820.4,241102.8,22957.98,153709,361744.3,308311.2,378741.4,295245.3,427869.9,387755.7,341629.2,372676,354942.7,423681.8,481893,17532.55,422089.6,627846.6,183574.8,92032.04,548505.5,157723.7,435803.5,238199.5,122940,139852.1,455972.2,58747.05,61590.33,401945.9,74796.18,339662.4,424911.4,72184.47,433876.2,110747.8,388265.9,107644.3,45033.1,131272.9,6354.358,0,0,0,0,0,0
dGMP,346.0566,C00362,346.0566,4910361,4030992,3527844,3884984,5919010,4857623,5788200,5294062,5406106,6290126,4877589,4901511,4811018,4791565,4709690,6057896,5411918,3574562,3369026,3816914,3130659,4104906,4196239,3408998,3614269,3573083,4981940,4981410,6967900,5107316,6328916,5870218,5543604,6289734,7597552,5143182,6290818,6030426,5556200,7084702,6020658,5557899,5676030,6255813,4937387,5730996,7526676,5214590,6974572,5313526,6301032,5883941,5483964,7144841,2344.505,1534.017,775.0175,660.3799,0,0
dihydroxy-acetone-phosphate,168.9897,C00111,168.9897,9320.742,10282.5,11562.36,20954.39,7917.868,10730.87,21160.12,23279.75,13675.43,21769.54,28492.31,9377.066,4830.306,9709.619,6664.766,9507.794,11393.33,4586.652,8968.869,4304.434,8409.855,5781.958,11393.25,434.3636,36260.33,5427.897,8984.152,11771.02,10116.96,6488.131,33231.38,10417.92,3158.841,62345,9943.02,8228.12,29560.14,18102.98,7399.225,24623.97,34029.8,3623.577,16415.72,11447.22,5867.496,39016.67,8637.144,15762.27,7615.804,13361.54,7180.4,4279.553,4620.92,3909.655,0,0,0,0,0,0
dimethylglycine,102.0556,C01026,102.0556,797669.9,652176.7,427106.3,1087812,348301.9,368199.2,927574.9,329614.1,225747.3,312659.5,224911.5,487031.6,432650.8,362154.2,215225.4,307022.2,121793.6,160946.9,842395.7,621463.4,180749.9,996115.6,1028098,274122.4,1120802,398807.3,695187.8,683242.1,106715.9,461631.5,799847.9,169540.5,156933.8,684526.6,157580.3,331370.2,650615.9,85616.7,188366.2,603946.1,222811.6,208831.6,964915.4,224108.2,156701.5,740221.8,186197,220986.5,527657.2,468194.6,147169.9,726056.8,590098.4,158024.6,34719.48,97187.26,62386.07,232148.2,219435.8,176980.3
dimethylglycine,103.0523,C01026,103.0523,9631.457,500.0306,463.1236,8865.35,3555.587,696.6874,14167.51,588.2544,1341.102,22866.86,1296.814,3426.8,15194.6,1685.092,1844.204,28336.49,579.3997,2146.127,59082.43,5192.942,5577.48,62551.24,7273.36,3853.45,57758.2,5896.646,2850.277,81322.78,3108.541,4790.62,96672.99,4985.324,6285.538,89872.2,8013.027,5482.98,136411.9,4689.464,5286.249,82909.96,9072.225,12718.13,110409.1,4637.474,3796.357,120675.5,8261.93,14496.46,160732.6,13331.95,7911.19,152713.5,13858.51,4528.84,622.5734,0,1760.919,0,0,464.4569
FAD,784.1493,C00016,784.1493,475969.4,149571.2,121972.1,362798,138907.6,117987.5,414919.1,152564.1,114609.8,423309.4,117608.4,82227.22,184515.5,159395.8,98191.23,235501.5,103422,62904.97,348283.5,136268.9,96107.35,459525.8,147883.8,117391.5,378733,133127.5,103614.5,485284.3,163806.2,136328.9,501290.4,179252.5,125211.7,476725.2,143066.9,120559.7,446222.5,73341.38,91099.23,410588.2,124919.1,123839.3,310367.2,120080.5,86648.69,268239.5,116276.6,90830.44,535746.5,131723.5,74984.84,494464.8,119473.2,100381.8,0,0,0,0,0,0
FAD,785.1533,C00016,785.1533,125772.3,39897.24,34783.48,115832.8,27981.85,28521.86,102200.9,43335.81,24324.21,123385.6,19902.09,21088.73,42443.5,39640.21,19757.04,61964.01,15677.04,9377.604,103409,36744.58,14659.68,137327.2,35753.55,30756.01,119325.9,41000.02,17032.78,151461.4,47457.82,40383.33,140873,54422.82,30312.19,139221.2,46799.38,20499.38,123521.6,17862.13,21583.9,137282.6,23745.28,32427.75,79494.33,21399.74,21910.68,73810.54,19147.21,13073.96,180528.2,23839.38,18877.12,155584.1,28460.14,16990.6,0,0,0,0,0,0
FAD,786.1555,C00016,786.1555,16183.84,1171.843,2510.229,8924.585,2208.972,1402.711,11633.58,3860.06,0,11995.43,0,0,4248.018,4815.229,0,3159.122,1616.332,0,13977.84,2517.296,1034.787,14474.73,2127.696,0,8374.899,1141.07,0,16166.71,1744.481,3258.84,25239.58,2514.895,2581.555,10129.4,2370.716,0,23664.2,0,0,12872.15,2033.736,1114.027,6813.872,1147.86,0,6247.613,0,0,9739.789,0,0,22276.02,2231.195,1585.939,0,1284.184,0,0,0,0
